#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#dataproduct_type, calib_level, obs_collection, obs_id, target_name, s_ra, s_dec, t_min, t_max, t_exptime, wavelength_region, filters, em_min, em_max, target_classification, obs_title, t_obs_release, instrument_name, proposal_pi, proposal_id, proposal_type, project, sequence_number, provenance_name, s_region, jpegURL, dataURL, dataRights, mtFlag, srcDen, intentType, obsid, objID, wave_min, wave_max, wave_region
#@string, int, string, string, string, ra, dec, float, float, float, string, string, float, float, string, string, float, string, string, string, string, string, int, string, string, string, string, string, string, float, string, string, string, float, float, string
dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID,wave_min,wave_max,wave_region
timeseries,3,TESS,tess2026015060000-s1751-0000000345035107-0301-s,345035107,154.453004168434,4.61835236223969,61055.2552044907,61062.4848085532,120,OPTICAL,TESS,600,1000,,,61067,Photometer,"Ricker, George",N/A,,TESS,1751,SPOC,CIRCLE 154.45300417 4.61835236 0.00138889,,mast:TESS/product/tess2026015060000-s1751-0000000345035107-0301-s_lc.fits,PUBLIC,False,NaN,science,378567656,1085468911,600,1000,OPTICAL
timeseries,3,TESS,tess2023043185947-s0062-0000000262686822-0254-s,262686822,148.614566003636,2.12713652211255,59987.9449471644,60013.657181412,120,Optical,TESS,600,1000,,,60037,Photometer,"Ricker, George",G05152,,TESS,62,SPOC,CIRCLE 148.614566 2.12713652 0.00138889,,mast:TESS/product/tess2023043185947-s0062-0000000262686822-0254-s_lc.fits,PUBLIC,False,NaN,science,124157716,823005353,600,1000,Optical
image,3,PS1,rings.v3.skycell.1452.009.stk.g,1452.009,159.978232057531,4.19639321004666,55241.4641893,56336.5529524852,681,OPTICAL,g,394.299987792969,559.299987792969,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   160.197562     3.980261  160.196293     4.413479  159.758729     4.412412  159.760344     3.979299,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1452/009/rings.v3.skycell.1452.009.stk.g.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1452/009/rings.v3.skycell.1452.009.stk.g.unconv.fits,PUBLIC,,5885,science,2166750,42142081,394.299987792969,559.299987792969,OPTICAL
timeseries,3,TESS,tess2021039152502-s0035-0000000275292954-0205-s,275292954,149.513353784721,3.84771913742941,59254.4938796875,59279.4840555903,120,Optical,TESS,600,1000,,,59312,Photometer,"Ricker, George",G03272,,TESS,35,SPOC,CIRCLE 149.51335378 3.84771914 0.00138889,,mast:TESS/product/tess2021039152502-s0035-0000000275292954-0205-s_lc.fits,PUBLIC,False,NaN,science,60672399,106914252,600,1000,Optical
image,3,PS1,rings.v3.skycell.1360.047.stk.y,1360.047,150.999559501339,1.7995558629897,55547.5759725,56824.2581066222,550,OPTICAL;INFRARED,y,910,1083.80004882813,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   151.216368     1.582915  151.216161     2.016409  150.782694     2.016142  150.783015     1.582706,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/047/rings.v3.skycell.1360.047.stk.y.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/047/rings.v3.skycell.1360.047.stk.y.unconv.fits,PUBLIC,,5885,science,2120944,42096275,910,1083.80004882813,OPTICAL;INFRARED
timeseries,3,TESS,tess2019032160000-s0008-0000000471014028-0136-s,471014028,149.3439583,5.26475833,58516.8676525347,58541.5053346991,120,Optical,TESS,600,1000,,,58584.5,Photometer,"Ricker, George",G011294_G011288,,TESS,8,SPOC,CIRCLE 149.3439583 5.26475833 0.00138889,,mast:TESS/product/tess2019032160000-s0008-0000000471014028-0136-s_lc.fits,PUBLIC,False,NaN,science,62468215,117306855,600,1000,Optical
timeseries,3,TESS,tess2019032160000-s0008-0000000344858486-0136-s,344858486,150.631186286485,1.82361296564953,58516.8675421875,58541.5053256481,120,Optical,TESS,600,1000,,,58584.5,Photometer,"Ricker, George",N/A,,TESS,8,SPOC,CIRCLE 150.63118629 1.82361297 0.00138889,,mast:TESS/product/tess2019032160000-s0008-0000000344858486-0136-s_lc.fits,PUBLIC,False,NaN,science,62464491,117299383,600,1000,Optical
image,3,PS1,rings.v3.skycell.1360.041.stk.r,1360.041,153.40031299805,1.79929310358235,55247.379485,56682.528421863,872,OPTICAL,r,538.599975585938,703.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   153.616741     1.582433  153.617168     2.015795  153.183828     2.016167  153.183515     1.582726,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/041/rings.v3.skycell.1360.041.stk.r.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/041/rings.v3.skycell.1360.041.stk.r.unconv.fits,PUBLIC,,5885,science,2120913,42096244,538.599975585938,703.599975585938,OPTICAL
timeseries,3,TESS,tess2021039152502-s0035-0000000277711962-0205-s,277711962,153.442691534717,3.62144018075118,59254.9216056829,59279.4841584144,120,Optical,TESS,600,1000,,,59312,Photometer,"Ricker, George",G03212,,TESS,35,SPOC,CIRCLE ICRS 153.44269153 3.62144018 0.00138889,,mast:TESS/product/tess2021039152502-s0035-0000000277711962-0205-s_lc.fits,PUBLIC,False,NaN,science,60676694,106792706,600,1000,Optical
image,3,PS1,rings.v3.skycell.1359.083.stk.g,1359.083,148.600778012523,3.4001733198303,55239.3832966,56741.3727642852,534,OPTICAL,g,394.299987792969,559.299987792969,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   148.817629     3.183396  148.817845     3.616633  148.383870     3.616919  148.383768     3.183648,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1359/083/rings.v3.skycell.1359.083.stk.g.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1359/083/rings.v3.skycell.1359.083.stk.g.unconv.fits,PUBLIC,,5885,science,2120621,42095952,394.299987792969,559.299987792969,OPTICAL
image,3,PS1,rings.v3.skycell.1360.085.stk.i,1360.085,151.799641245676,3.40033907577191,55250.4125239,57024.5738624334,1086,OPTICAL,i,677.799987792969,830.400024414063,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   152.016619     3.183720  152.016624     3.617000  151.582606     3.616904  151.582716     3.183635,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/085/rings.v3.skycell.1360.085.stk.i.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/085/rings.v3.skycell.1360.085.stk.i.unconv.fits,PUBLIC,,5885,science,2121132,42096463,677.799987792969,830.400024414063,OPTICAL
timeseries,3,TESS,tess2019032160000-s0008-0000000275358524-0136-s,275358524,149.929510709397,3.38478773129409,58516.8675978125,58541.5053306481,120,Optical,TESS,600,1000,,,58584.5,Photometer,"Ricker, George",N/A,,TESS,8,SPOC,CIRCLE 149.92951071 3.38478773 0.00138889,,mast:TESS/product/tess2019032160000-s0008-0000000275358524-0136-s_lc.fits,PUBLIC,False,NaN,science,62460840,117292066,600,1000,Optical
timeseries,3,TESS,tess2021039152502-s0035-0000000262719749-0205-s,262719749,149.202519710749,4.24207866127964,59254.4938902778,59279.4840475,120,Optical,TESS,600,1000,,,59312,Photometer,"Ricker, George",G03251,,TESS,35,SPOC,CIRCLE ICRS 149.20251971 4.24207866 0.00138889,,mast:TESS/product/tess2021039152502-s0035-0000000262719749-0205-s_lc.fits,PUBLIC,False,NaN,science,60673702,106769393,600,1000,Optical
timeseries,3,TESS,tess2021310001228-s0045-0000000277767839-0216-s,277767839,154.140933456122,2.40291299179922,59525.0042627778,59550.12477625,120,Optical,TESS,600,1000,,,59575,Photometer,"Ricker, George",N/A,,TESS,45,SPOC,CIRCLE 154.14093346 2.40291299 0.00138889,,mast:TESS/product/tess2021310001228-s0045-0000000277767839-0216-s_lc.fits,PUBLIC,False,NaN,science,71242951,137211464,600,1000,Optical
timeseries,3,TESS,tess2023315124025-s0072-0000000262736264-0267-s,262736264,149.366787002171,5.17103040158305,60259.6812116551,60285.0837171065,120,Optical,TESS,600,1000,,,60297,Photometer,"Ricker, George",G06148_G06032,,TESS,72,SPOC,CIRCLE 149.366787 5.1710304 0.00138889,,mast:TESS/product/tess2023315124025-s0072-0000000262736264-0267-s_lc.fits,PUBLIC,False,NaN,science,198795044,362246503,600,1000,Optical
image,3,PS1,rings.v3.skycell.1450.020.stk.y,1450.020,155.529577713222,4.99645731916023,55547.5779835,57047.6730049222,790,OPTICAL;INFRARED,y,910,1083.80004882813,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   155.747783     4.779112  155.749403     5.212521  155.311199     5.213783  155.309926     4.780268,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1450/020/rings.v3.skycell.1450.020.stk.y.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1450/020/rings.v3.skycell.1450.020.stk.y.unconv.fits,PUBLIC,,5885,science,2165808,42141139,910,1083.80004882813,OPTICAL;INFRARED
timeseries,3,TESS,tess2021336043614-s0046-0000000344842020-0217-s,344842020,150.278838090576,4.67764205011585,59551.0655809375,59578.2041383102,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",N/A,,TESS,46,SPOC,CIRCLE 150.27883809 4.67764205 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000344842020-0217-s_lc.fits,PUBLIC,False,NaN,science,71496319,142817727,600,1000,Optical
timeseries,3,TESS,tess2019032160000-s0008-0000000345074219-0136-s,345074219,155.202910493269,2.35087171846091,58516.8507587153,58541.5053847106,120,Optical,TESS,600,1000,,,58584.5,Photometer,"Ricker, George",N/A,,TESS,8,SPOC,CIRCLE 155.20291049 2.35087172 0.00138889,,mast:TESS/product/tess2019032160000-s0008-0000000345074219-0136-s_lc.fits,PUBLIC,False,NaN,science,62464576,117299560,600,1000,Optical
timeseries,3,TESS,tess2021310001228-s0045-0000000345032207-0216-s,345032207,152.907448891547,2.2213894570181,59525.0043673727,59550.1248826505,120,Optical,TESS,600,1000,,,59575,Photometer,"Ricker, George",N/A,,TESS,45,SPOC,CIRCLE 152.90744889 2.22138946 0.00138889,,mast:TESS/product/tess2021310001228-s0045-0000000345032207-0216-s_lc.fits,PUBLIC,False,NaN,science,71245722,137217190,600,1000,Optical
image,3,PS1,rings.v3.skycell.1361.099.stk.y,1361.099,154.197476196072,3.79837361770242,55547.5790225,57047.6715365222,670,OPTICAL;INFRARED,y,910,1083.80004882813,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   154.414507     3.582324  154.414088     4.015271  153.980388     4.014317  153.980922     3.581474,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1361/099/rings.v3.skycell.1361.099.stk.y.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1361/099/rings.v3.skycell.1361.099.stk.y.unconv.fits,PUBLIC,,5885,science,2121704,42097035,910,1083.80004882813,OPTICAL;INFRARED
image,3,PS1,rings.v3.skycell.1362.047.stk.z,1362.047,158.999559501339,1.7995558629897,55236.4459278,56631.6563190445,616,OPTICAL,z,802.799987792969,934.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   159.216368     1.582915  159.216161     2.016409  158.782694     2.016142  158.783015     1.582706,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1362/047/rings.v3.skycell.1362.047.stk.z.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1362/047/rings.v3.skycell.1362.047.stk.z.unconv.fits,PUBLIC,,5885,science,2121945,42097276,802.799987792969,934.599975585938,OPTICAL
timeseries,3,TESS,tess2021336043614-s0046-0000000842290599-0217-s,842290599,155.057741424186,5.22896647116824,59551.0651661806,59578.2038093171,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",G04209,,TESS,46,SPOC,CIRCLE 155.05774142 5.22896647 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000842290599-0217-s_lc.fits,PUBLIC,False,NaN,science,71503556,142841574,600,1000,Optical
image,3,PS1,rings.v3.skycell.1360.099.stk.z,1360.099,150.197476196072,3.79837361770242,55236.4380175,57017.6613228222,518,OPTICAL,z,802.799987792969,934.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   150.414507     3.582324  150.414088     4.015271  149.980388     4.014317  149.980922     3.581474,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/099/rings.v3.skycell.1360.099.stk.z.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/099/rings.v3.skycell.1360.099.stk.z.unconv.fits,PUBLIC,,5885,science,2121205,42096536,802.799987792969,934.599975585938,OPTICAL
timeseries,3,TESS,tess2018206190142-s0001-s0046-0000000277875264,277875264,156.899993644813,2.21184831498218,58516.8451428356,59578.2035501273,120,Optical,TESS,600,1000,,,59642,Photometer,"Ricker, George",G04214_G04234,,TESS,46,SPOC,CIRCLE 156.89999364 2.21184831 0.00138889,,mast:TESS/product/tess2018206190142-s0001-s0046-0000000277875264-00555_dvt.fits,PUBLIC,False,NaN,science,71744020,144631243,600,1000,Optical
image,3,PS1,rings.v3.skycell.1359.062.stk.i,1359.062,149.000789256962,2.59981608798618,55264.3022699,56997.6367009334,1234,OPTICAL,i,677.799987792969,830.400024414063,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   149.217439     2.382929  149.217761     2.816323  148.784082     2.816695  148.783875     2.383243,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1359/062/rings.v3.skycell.1359.062.stk.i.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1359/062/rings.v3.skycell.1359.062.stk.i.unconv.fits,PUBLIC,,5885,science,2120517,42095848,677.799987792969,830.400024414063,OPTICAL
timeseries,3,TESS,tess2021039152502-s0035-0000000262713499-0205-s,262713499,148.989499868097,4.36600400215647,59254.4938946875,59279.484041331,120,Optical,TESS,600,1000,,,59312,Photometer,"Ricker, George",G03274,,TESS,35,SPOC,CIRCLE 148.98949987 4.366004 0.00138889,,mast:TESS/product/tess2021039152502-s0035-0000000262713499-0205-s_lc.fits,PUBLIC,False,NaN,science,60670430,106903527,600,1000,Optical
timeseries,3,TESS,tess2023043185947-s0062-0000000262712269-0254-s,262712269,148.894143338715,2.21352379769455,59987.9449476968,60013.6571921991,120,Optical,TESS,600,1000,,,60037,Photometer,"Ricker, George",G05057,,TESS,62,SPOC,CIRCLE 148.89414334 2.2135238 0.00138889,,mast:TESS/product/tess2023043185947-s0062-0000000262712269-0254-s_lc.fits,PUBLIC,False,NaN,science,124157727,823005399,600,1000,Optical
timeseries,3,TESS,tess2021310001228-s0045-0000000275292950-0216-s,275292950,149.462339936549,3.8252523754131,59525.4894877778,59550.1252499537,120,Optical,TESS,600,1000,,,59575,Photometer,"Ricker, George",G04191,,TESS,45,SPOC,CIRCLE 149.46233994 3.82525238 0.00138889,,mast:TESS/product/tess2021310001228-s0045-0000000275292950-0216-s_lc.fits,PUBLIC,False,NaN,science,71242866,137211098,600,1000,Optical
timeseries,3,TESS,tess2023315124025-s0072-0000000842045580-0267-a_fast,842045580,153.499354212574,3.09830616825356,60259.6807705903,60285.0841997801,20,Optical,TESS,600,1000,,,60297,Photometer,"Ricker, George",G06049_G06028,,TESS,72,SPOC,CIRCLE 153.49935421 3.09830617 0.00138889,,mast:TESS/product/tess2023315124025-s0072-0000000842045580-0267-a_fast-lc.fits,PUBLIC,False,NaN,science,198801406,362260092,600,1000,Optical
image,3,PS1,rings.v3.skycell.1361.062.stk.y,1361.062,157.000789256962,2.59981608798618,55195.4578227,57047.6725118222,740,OPTICAL;INFRARED,y,910,1083.80004882813,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   157.217439     2.382929  157.217761     2.816323  156.784082     2.816695  156.783875     2.383243,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1361/062/rings.v3.skycell.1361.062.stk.y.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1361/062/rings.v3.skycell.1361.062.stk.y.unconv.fits,PUBLIC,,5885,science,2121519,42096850,910,1083.80004882813,OPTICAL;INFRARED
image,3,PS1,rings.v3.skycell.1451.006.stk.y,1451.006,157.145954769242,4.19826827784232,55195.4578227,57047.6730049222,930,OPTICAL;INFRARED,y,910,1083.80004882813,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   157.365000     3.981718  157.364692     4.415096  156.926736     4.414740  156.927391     3.981397,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1451/006/rings.v3.skycell.1451.006.stk.y.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1451/006/rings.v3.skycell.1451.006.stk.y.unconv.fits,PUBLIC,,5885,science,2166238,42141569,910,1083.80004882813,OPTICAL;INFRARED
timeseries,3,TESS,tess2021336043614-s0046-0000000277712053-0217-s,277712053,153.534727352394,3.15129886783399,59551.0652288079,59578.2038493518,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",G04191,,TESS,46,SPOC,CIRCLE 153.53472735 3.15129887 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000277712053-0217-s_lc.fits,PUBLIC,False,NaN,science,71493924,142810352,600,1000,Optical
timeseries,3,TESS,tess2023315124025-s0072-0000000345072855-0267-s,345072855,155.080088578081,4.29134726214626,60259.6806664815,60285.0831759491,120,Optical,TESS,600,1000,,,60297,Photometer,"Ricker, George",N/A,,TESS,72,SPOC,CIRCLE 155.08008858 4.29134726 0.00138889,,mast:TESS/product/tess2023315124025-s0072-0000000345072855-0267-s_lc.fits,PUBLIC,False,NaN,science,198796553,362249641,600,1000,Optical
image,3,PS1,rings.v3.skycell.1449.013.stk.g,1449.013,150.269728233834,4.59841171258491,55240.3780044,56741.3946095852,792,OPTICAL,g,394.299987792969,559.299987792969,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   150.488452     4.381437  150.489108     4.814949  150.050830     4.815337  150.050523     4.381790,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1449/013/rings.v3.skycell.1449.013.stk.g.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1449/013/rings.v3.skycell.1449.013.stk.g.unconv.fits,PUBLIC,,5885,science,2165270,42140601,394.299987792969,559.299987792969,OPTICAL
image,3,PS1,rings.v3.skycell.1360.070.stk.y,1360.070,153.801506023781,2.9988544124623,55194.5127367,57047.6715365222,640,OPTICAL;INFRARED,y,910,1083.80004882813,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   154.017955     2.781908  154.018488     3.215046  153.585000     3.215810  153.584581     2.782568,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/070/rings.v3.skycell.1360.070.stk.y.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/070/rings.v3.skycell.1360.070.stk.y.unconv.fits,PUBLIC,,5885,science,2121059,42096390,910,1083.80004882813,OPTICAL;INFRARED
image,3,PS1,rings.v3.skycell.1359.043.stk.z,1359.043,148.60019199923,1.79973136928589,55236.4982292,57017.6618068222,646,OPTICAL,z,802.799987792969,934.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   148.816832     1.582902  148.817047     2.016392  148.383495     2.016552  148.383394     1.583028,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1359/043/rings.v3.skycell.1359.043.stk.z.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1359/043/rings.v3.skycell.1359.043.stk.z.unconv.fits,PUBLIC,,5885,science,2120425,42095756,802.799987792969,934.599975585938,OPTICAL
timeseries,3,TESS,tess2021310001228-s0045-0000000344954069-0216-s,344954069,152.016977871856,5.14484632501198,59525.0045349769,59550.1250709259,120,Optical,TESS,600,1000,,,59575,Photometer,"Ricker, George",N/A,,TESS,45,SPOC,CIRCLE 152.01697787 5.14484633 0.00138889,,mast:TESS/product/tess2021310001228-s0045-0000000344954069-0216-s_lc.fits,PUBLIC,False,NaN,science,71245685,137217115,600,1000,Optical
timeseries,3,TESS,tess2021039152502-s0035-0000000344842797-0205-s,344842797,150.335622841475,3.55463619509836,59254.4938646065,59279.4840783681,120,Optical,TESS,600,1000,,,59312,Photometer,"Ricker, George",G03212,,TESS,35,SPOC,CIRCLE ICRS 150.33562284 3.55463620 0.00138889,,mast:TESS/product/tess2021039152502-s0035-0000000344842797-0205-s_lc.fits,PUBLIC,False,NaN,science,60683142,106832847,600,1000,Optical
timeseries,3,TESS,tess2018235142541-s0002-s0072-0000000842170966,842170966,150.540148796965,3.89087389751962,59987.9394132176,60285.0807889931,120,Optical,TESS,600,1000,,,60339,Photometer,"Ricker, George",G06049,,TESS,72,SPOC,CIRCLE 150.5401488 3.8908739 0.00138889,,mast:TESS/product/tess2018235142541-s0002-s0072-0000000842170966-00829_dvt.fits,PUBLIC,False,NaN,science,208739263,383507176,600,1000,Optical
timeseries,3,TESS,tess2021336043614-s0046-0000000277673440-0217-s,277673440,153.156137035749,1.88296676320672,59551.065216713,59578.2038308218,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",G04103,,TESS,46,SPOC,CIRCLE 153.15613704 1.88296676 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000277673440-0217-s_lc.fits,PUBLIC,False,NaN,science,71493902,142810282,600,1000,Optical
image,3,PS1,rings.v3.skycell.1361.097.stk.z,1361.097,154.99833846992,3.79966966398713,55236.4416478,57017.6632615222,616,OPTICAL,z,802.799987792969,934.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   155.215412     3.583358  155.215204     4.016429  154.781208     4.015898  154.781530     3.582885,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1361/097/rings.v3.skycell.1361.097.stk.z.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1361/097/rings.v3.skycell.1361.097.stk.z.unconv.fits,PUBLIC,,5885,science,2121695,42097026,802.799987792969,934.599975585938,OPTICAL
timeseries,3,TESS,tess2021039152502-s0035-0000000262713615-0205-s,262713615,149.044544201456,3.83487930225818,59254.4938843634,59279.4840414005,120,Optical,TESS,600,1000,,,59312,Photometer,"Ricker, George",G03120,,TESS,35,SPOC,CIRCLE 149.0445442 3.8348793 0.00138889,,mast:TESS/product/tess2021039152502-s0035-0000000262713615-0205-s_lc.fits,PUBLIC,False,NaN,science,60670268,106902636,600,1000,Optical
timeseries,3,TESS,tess2019032160000-s0008-0000000344926234-0136-s,344926234,151.557460509578,3.94657091351727,58516.8675702778,58541.5053604282,120,Optical,TESS,600,1000,,,58584.5,Photometer,"Ricker, George",N/A,,TESS,8,SPOC,CIRCLE 151.55746051 3.94657091 0.00138889,,mast:TESS/product/tess2019032160000-s0008-0000000344926234-0136-s_lc.fits,PUBLIC,False,NaN,science,62464515,117309714,600,1000,Optical
timeseries,3,TESS,tess2021336043614-s0046-0000000344954217-0217-s,344954217,152.044581641572,4.3451015884735,59551.0654086227,59578.2040007292,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",G04191,,TESS,46,SPOC,CIRCLE 152.04458164 4.34510159 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000344954217-0217-s_lc.fits,PUBLIC,False,NaN,science,71496408,142818011,600,1000,Optical
timeseries,3,TESS,tess2021336043614-s0046-0000000374210369-0217-s,374210369,158.51150787287,3.66644849727071,59551.0647805787,59578.2034784259,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",G04191,,TESS,46,SPOC,CIRCLE 158.51150787 3.6664485 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000374210369-0217-s_lc.fits,PUBLIC,False,NaN,science,71498086,142823403,600,1000,Optical
timeseries,3,TESS,tess2023043185947-s0062-0000000842054224-0254-s,842054224,152.112338132542,3.28133396359783,59987.9449448611,60013.6573058218,120,Optical,TESS,600,1000,,,60037,Photometer,"Ricker, George",G05084,,TESS,62,SPOC,CIRCLE 152.11233813 3.28133396 0.00138889,,mast:TESS/product/tess2023043185947-s0062-0000000842054224-0254-s_lc.fits,PUBLIC,False,NaN,science,124173398,823051453,600,1000,Optical
timeseries,3,TESS,tess2021039152502-s0035-0000000344989503-0205-s,344989503,152.516231075556,4.57247978054753,59254.4938526968,59279.4841393634,120,Optical,TESS,600,1000,,,59312,Photometer,"Ricker, George",G03251,,TESS,35,SPOC,CIRCLE ICRS 152.51623108 4.57247978 0.00138889,,mast:TESS/product/tess2021039152502-s0035-0000000344989503-0205-s_lc.fits,PUBLIC,False,NaN,science,60680809,106821373,600,1000,Optical
image,3,PS1,rings.v3.skycell.1359.090.stk.r,1359.090,149.80238480392,3.79837411770598,55191.5343171,57007.5719329334,1839,OPTICAL,r,538.599975585938,703.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   150.018939     3.581474  150.019473     4.014318  149.585773     4.015271  149.585354     3.582325,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1359/090/rings.v3.skycell.1359.090.stk.r.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1359/090/rings.v3.skycell.1359.090.stk.r.unconv.fits,PUBLIC,,5885,science,2120658,42095989,538.599975585938,703.599975585938,OPTICAL
timeseries,3,TESS,tess2021233042500-s0042-s0046-0000000277875264,277875264,156.899993644813,2.21184831498218,59524.9984587731,59578.2035501273,120,Optical,TESS,600,1000,,,59641,Photometer,"Ricker, George",G04214_G04234,,TESS,46,SPOC,CIRCLE 156.89999364 2.21184831 0.00138889,,mast:TESS/product/tess2021233042500-s0042-s0046-0000000277875264-00550_dvt.fits,PUBLIC,False,NaN,science,71744024,144631254,600,1000,Optical
image,3,PS1,rings.v3.skycell.1450.012.stk.z,1450.012,154.719316223209,4.5979551959228,55236.4416478,57017.6632615222,526,OPTICAL,z,802.799987792969,934.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   154.937836     4.380884  154.938812     4.814341  154.500623     4.814989  154.499994     4.381473,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1450/012/rings.v3.skycell.1450.012.stk.z.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1450/012/rings.v3.skycell.1450.012.stk.z.unconv.fits,PUBLIC,,5885,science,2165769,42141100,802.799987792969,934.599975585938,OPTICAL
